[30-Mar-2026 17:23:33 UTC] PHP Parse error:  syntax error, unexpected token "readonly" in E:\eventos\AfroSympla v1.5\main\vendor\jms\serializer\src\JMS\Serializer\Metadata\Driver\AnnotationDriver.php on line 80
[30-Mar-2026 18:59:05 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_zip.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_zip.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_zip.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 18:59:05 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_sodium.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_sodium.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_sodium.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 18:59:05 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_imagick.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_imagick.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_imagick.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 18:59:05 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_tidy.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_tidy.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_tidy.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 18:59:05 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_intl.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_intl.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_intl.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 18:59:05 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_xsl.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_xsl.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_xsl.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 18:59:05 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_soap.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_soap.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_soap.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 18:59:05 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_mysqli.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_mysqli.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_mysqli.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 18:59:05 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_pdo_mysql.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_pdo_mysql.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_pdo_mysql.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 18:59:05 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_fileinfo.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_fileinfo.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_fileinfo.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 18:59:05 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_pdo_sqlite.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_pdo_sqlite.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_pdo_sqlite.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 18:59:05 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_sqlite3.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_sqlite3.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_sqlite3.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 18:59:05 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_zip.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_zip.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_zip.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 18:59:05 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_imagick.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_imagick.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_imagick.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 18:59:05 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_intl.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_intl.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_intl.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 18:59:05 UTC] PHP Warning:  Failed loading Zend extension 'php_opcache.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_opcache.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_opcache.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 18:59:05 UTC] PHP Warning:  Failed loading Zend extension 'php_xdebug.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_xdebug.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_xdebug.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 18:59:05 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_curl.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_curl.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_curl.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 18:59:05 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_gettext.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_gettext.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_gettext.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 18:59:05 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_openssl.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_openssl.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_openssl.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 18:59:05 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_exif.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_exif.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_exif.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 18:59:05 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_gd.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_gd.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_gd.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 18:59:05 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_ftp.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_ftp.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_ftp.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 18:59:05 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_ffi.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_ffi.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_ffi.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 18:59:05 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_imap.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_imap.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_imap.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 18:59:05 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_bz2.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_bz2.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_bz2.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 18:59:05 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_mbstring.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_mbstring.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_mbstring.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 18:59:05 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_sodium.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_sodium.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_sodium.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 18:59:05 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_tidy.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_tidy.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_tidy.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 18:59:05 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_xsl.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_xsl.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_xsl.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 18:59:05 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_soap.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_soap.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_soap.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 18:59:05 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_mysqli.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_mysqli.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_mysqli.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 18:59:05 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_pdo_mysql.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_pdo_mysql.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_pdo_mysql.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 18:59:05 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_fileinfo.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_fileinfo.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_fileinfo.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 18:59:05 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_pdo_sqlite.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_pdo_sqlite.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_pdo_sqlite.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 18:59:05 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_sqlite3.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_sqlite3.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_sqlite3.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 18:59:05 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_zip.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_zip.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_zip.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 18:59:05 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_imagick.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_imagick.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_imagick.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 18:59:05 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_intl.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_intl.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_intl.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 19:01:10 UTC] PHP Warning:  Failed loading Zend extension 'php_opcache.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_opcache.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_opcache.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 19:01:10 UTC] PHP Warning:  Failed loading Zend extension 'php_xdebug.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_xdebug.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_xdebug.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 19:01:10 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_curl.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_curl.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_curl.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 19:01:10 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_gettext.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_gettext.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_gettext.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 19:01:10 UTC] PHP Warning:  Failed loading Zend extension 'php_opcache.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_opcache.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_opcache.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 19:01:10 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_openssl.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_openssl.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_openssl.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 19:01:10 UTC] PHP Warning:  Failed loading Zend extension 'php_xdebug.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_xdebug.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_xdebug.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 19:01:10 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_exif.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_exif.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_exif.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 19:01:10 UTC] PHP Warning:  Failed loading Zend extension 'php_opcache.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_opcache.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_opcache.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 19:01:10 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_curl.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_curl.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_curl.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 19:01:10 UTC] PHP Warning:  Failed loading Zend extension 'php_xdebug.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_xdebug.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_xdebug.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 19:01:10 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_gd.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_gd.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_gd.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 19:01:10 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_gettext.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_gettext.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_gettext.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 19:01:10 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_curl.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_curl.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_curl.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 19:01:10 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_ftp.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_ftp.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_ftp.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 19:01:10 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_openssl.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_openssl.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_openssl.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 19:01:10 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_gettext.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_gettext.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_gettext.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 19:01:10 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_exif.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_exif.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_exif.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 19:01:10 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_ffi.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_ffi.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_ffi.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 19:01:10 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_imap.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_imap.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_imap.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 19:01:10 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_gd.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_gd.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_gd.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 19:01:10 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_openssl.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_openssl.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_openssl.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
[30-Mar-2026 19:01:10 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_bz2.dll' (tried: C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_bz2.dll (Não foi possível encontrar o módulo especificado.), C:/Users/55359/AppData/Roaming/Local/lightning-services/php-8.2.27+1/bin/win64/ext\php_php_bz2.dll.dll (Não foi possível encontrar o módulo especificado.)) in Unknown on line 0
